location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Slovenia,1995,0.5352731130391994,0.9231740539651565,Europe,0.3256812551610239,0.4472104912202712,0.32160804020100503,0.5823970037453184,0.4963199579550122,12.0
Spain,1995,0.5842033580360879,0.683536410823248,Europe,0.6825763831544178,0.29213899385048525,0.7128499641062456,0.31460674157303375,0.49265384788259453,13.0
Austria,1995,0.4620165377363856,0.5413036643761757,Europe,1.0,0.3536341409202045,0.3388370423546303,0.38483146067415736,0.4827471090983907,14.0
Luxembourg,1995,0.5441470305320697,0.6405925324501971,Europe,0.3451692815854665,0.5024079425057421,0.384781048097631,0.4981273408239701,0.4757090815346694,15.0
Estonia,1995,0.10589342151792103,0.7243969056295467,Europe,0.4966143682906688,0.48106986737793583,0.3287867910983489,0.5861423220973783,0.47323982521555996,16.0
Bulgaria,1995,0.0,0.9231395839484147,Europe,0.549793559042114,0.4850707564643995,0.13280689160086145,0.601123595505618,0.4625881784989702,17.0
Kazakhstan,1995,0.41070478472828675,0.8479178519334987,Europe,0.5689512799339389,0.6356968215158925,0.020818377602297194,0.3623595505617978,0.45539927072317926,18.0
Poland,1995,0.47441244450095144,0.8755159572315565,Europe,0.3603633360858794,0.4295769430243758,0.33524766690595836,0.4213483146067416,0.4499670755374031,19.0
Andorra,1995,0.8361817396092326,0.6733436352165652,Europe,0.34500412881915765,0.15573831221752982,0.5664034458004307,0.4410112359550562,0.4365666865561855,20.0
Croatia,1995,0.3890170682321661,0.937270825164005,Europe,0.3230388109000826,0.28280358598207006,0.24694903086862885,0.5280898876404495,0.4173659541381974,21.0
Belarus,1995,0.23573237609629616,0.7198692474313799,Europe,0.4738232865400495,0.5507149736978588,0.14716439339554918,0.32584269662921356,0.40425497016672385,22.0
Hungary,1995,0.12208619076474503,0.9286682797304529,Europe,0.5294797687861271,0.38741942653923095,0.20961952620244076,0.31460674157303375,0.39047361872810465,23.0
